
EmNi5512,1
SoJo6789,1
LaPe2468,1
HeLa1357,1
NiJe8642,1
IdAn6420,1
MoSø9513,1
FrPe3086,1
ViNg4725,1
JaPa6093,1
MaCh2085,1
ThOl5823,1
KrKn4023,1
LiMo7351,1
AnPe6251,1
OlWi3095,1
EmHa7743,1
NoPe1350,1
LuSc9821,1
FiHo7539,1
AlBe2084,1
YuMe5023,1
SoLi6094,1
LeYo8723,1
JiKi4502,1
RuSh7530,1
EdNo4012,1
TiBa9143,1
RaAl6723,1
SaKa5029,1
HaEl7531,1
MiSh9143,1
BeGr5023,1
JoMa6723,1
KaKo4012,1
SeMo5023,1
InSu6723,1
ElPr4012,1
ToBr9143,1
FeLi5023,1
NiCh4012,1
HeGu9143,1
RoBa5023,1
SiHo6723,1
LiPe9143,1
OsHa7531,2
AmSm1285,2
ErSi9142,2
MaJu6412,2
AmHa3087,2
EvJo4012,2
LuAn9143,2
IsWi6723,2
TyLe4012,2
MiTh5023,2
AlGr6723,2
ErWi4012,2
